bsdl pin,rtl pin,socket pin,channel available
GPP_E_8_SATA_LEDB,gpp_e_8_sata_ledb,IP_PCH::GPP_E_8_SATA_LEDB,1
GPP_E_7_CPU_GP_1,gpp_e_7_cpu_gp_1,IP_PCH::GPP_E_7_CPU_GP_1,1
GPP_E_6_SATA_DEVSLP_2,gpp_e_6_sata_devslp_2,IP_PCH::GPP_E_6_SATA_DEVSLP_2,1
GPP_E_5_SATA_DEVSLP_1,gpp_e_5_sata_devslp_1,IP_PCH::GPP_E_5_SATA_DEVSLP_1,1
GPP_E_4_SATA_DEVSLP_0,gpp_e_4_sata_devslp_0,IP_PCH::GPP_E_4_SATA_DEVSLP_0,1
GPP_E_3_CPU_GP_0,gpp_e_3_cpu_gp_0,IP_PCH::GPP_E_3_CPU_GP_0,1
GPP_E_2_SATAXPCIE_2_SATAGP_2,gpp_e_2_sataxpcie_2_satagp_2,IP_PCH::GPP_E_2_SATAXPCIE_2_SATAGP_2,1
GPP_E_1_SATAXPCIE_1_SATAGP_1,gpp_e_1_sataxpcie_1_satagp_1,IP_PCH::GPP_E_1_SATAXPCIE_1_SATAGP_1,1
GPP_E_0_SATAXPCIE_0_SATAGP_0,gpp_e_0_sataxpcie_0_satagp_0,IP_PCH::GPP_E_0_SATAXPCIE_0_SATAGP_0,1
GPP_S_7_SNDW3_DATA_DMIC_DATA_1_RGMII_PPS_1,gpp_s_7_sndw3_data_dmic_data_1_rgmii_pps_1,IP_PCH::GPP_S_7_SNDW3_DATA_DMIC_DATA_1_RGMII_PPS_1,1
GPP_S_6_SNDW3_CLK_DMIC_CLK_A_1_RGMII_RESET_1,gpp_s_6_sndw3_clk_dmic_clk_a_1_rgmii_reset_1,IP_PCH::GPP_S_6_SNDW3_CLK_DMIC_CLK_A_1_RGMII_RESET_1,1
GPP_S_5_SNDW2_DATA_DMIC_CLK_B_1_RGMII_INT_1,gpp_s_5_sndw2_data_dmic_clk_b_1_rgmii_int_1,IP_PCH::GPP_S_5_SNDW2_DATA_DMIC_CLK_B_1_RGMII_INT_1,1
GPP_S_4_SNDW2_CLK_DMIC_CLK_B_0_RGMII_AUXTS_1_SNDW0_DATA3,gpp_s_4_sndw2_clk_dmic_clk_b_0_rgmii_auxts_1_sndw0_data3,IP_PCH::GPP_S_4_SNDW2_CLK_DMIC_CLK_B_0_RGMII_AUXTS_1_SNDW0_DATA3,1
GPP_S_3_SNDW1_DATA_DMIC_DATA_0_RGMII_PPS_0_SNDW0_DATA2,gpp_s_3_sndw1_data_dmic_data_0_rgmii_pps_0_sndw0_data2,IP_PCH::GPP_S_3_SNDW1_DATA_DMIC_DATA_0_RGMII_PPS_0_SNDW0_DATA2,1
GPP_S_2_SNDW1_CLK_DMIC_CLK_A_0_RGMII_RESET_0_SNDW0_DATA1,gpp_s_2_sndw1_clk_dmic_clk_a_0_rgmii_reset_0_sndw0_data1,IP_PCH::GPP_S_2_SNDW1_CLK_DMIC_CLK_A_0_RGMII_RESET_0_SNDW0_DATA1,1
GPP_S_1_SNDW0_DATA0_RGMII_INT_0,gpp_s_1_sndw0_data0_rgmii_int_0,IP_PCH::GPP_S_1_SNDW0_DATA0_RGMII_INT_0,1
GPP_S_0_SNDW0_CLK_RGMII_AUXTS_0,gpp_s_0_sndw0_clk_rgmii_auxts_0,IP_PCH::GPP_S_0_SNDW0_CLK_RGMII_AUXTS_0,1
MLK_RSTB_UNUSED,mlk_rstb_unused,IP_PCH::MLK_RSTB_UNUSED,1
MLK_DATA,mlk_data,IP_PCH::MLK_DATA,1
MLK_CLK,mlk_clk,IP_PCH::MLK_CLK,1
GPP_C_23_UART2_CTSB_CNV_MFUART0_CTS_B,gpp_c_23_uart2_ctsb_cnv_mfuart0_cts_b,IP_PCH::GPP_C_23_UART2_CTSB_CNV_MFUART0_CTS_B,1
GPP_C_22_UART2_RTSB_CNV_MFUART0_RTS_B,gpp_c_22_uart2_rtsb_cnv_mfuart0_rts_b,IP_PCH::GPP_C_22_UART2_RTSB_CNV_MFUART0_RTS_B,1
GPP_C_21_UART2_TXD_CNV_MFUART0_TXD,gpp_c_21_uart2_txd_cnv_mfuart0_txd,IP_PCH::GPP_C_21_UART2_TXD_CNV_MFUART0_TXD,1
GPP_C_20_UART2_RXD_CNV_MFUART0_RXD,gpp_c_20_uart2_rxd_cnv_mfuart0_rxd,IP_PCH::GPP_C_20_UART2_RXD_CNV_MFUART0_RXD,1
GPP_C_19_USB2_OCB_7_I2C5_SCL,gpp_c_19_usb2_ocb_7_i2c5_scl,IP_PCH::GPP_C_19_USB2_OCB_7_I2C5_SCL,1
GPP_C_18_USB2_OCB_6_I2C5_SDA,gpp_c_18_usb2_ocb_6_i2c5_sda,IP_PCH::GPP_C_18_USB2_OCB_6_I2C5_SDA,1
GPP_C_17_USB2_OCB_5_I2C4_SCL,gpp_c_17_usb2_ocb_5_i2c4_scl,IP_PCH::GPP_C_17_USB2_OCB_5_I2C4_SCL,1
GPP_C_16_USB2_OCB_4_I2C4_SDA,gpp_c_16_usb2_ocb_4_i2c4_sda,IP_PCH::GPP_C_16_USB2_OCB_4_I2C4_SDA,1
GPP_C_15_UART1_CTSB_ISH_UART1_CTSB,gpp_c_15_uart1_ctsb_ish_uart1_ctsb,IP_PCH::GPP_C_15_UART1_CTSB_ISH_UART1_CTSB,1
GPP_C_14_UART1_RTSB_ISH_UART1_RTSB,gpp_c_14_uart1_rtsb_ish_uart1_rtsb,IP_PCH::GPP_C_14_UART1_RTSB_ISH_UART1_RTSB,1
GPP_C_13_UART1_TXD_ISH_UART1_TXD,gpp_c_13_uart1_txd_ish_uart1_txd,IP_PCH::GPP_C_13_UART1_TXD_ISH_UART1_TXD,1
GPP_C_12_UART1_RXD_ISH_UART1_RXD,gpp_c_12_uart1_rxd_ish_uart1_rxd,IP_PCH::GPP_C_12_UART1_RXD_ISH_UART1_RXD,1
GPP_C_11_UART0_CTSB,gpp_c_11_uart0_ctsb,IP_PCH::GPP_C_11_UART0_CTSB,1
GPP_C_10_UART0_RTSB,gpp_c_10_uart0_rtsb,IP_PCH::GPP_C_10_UART0_RTSB,1
GPP_C_9_UART0_TXD,gpp_c_9_uart0_txd,IP_PCH::GPP_C_9_UART0_TXD,1
GPP_C_8_UART0_RXD,gpp_c_8_uart0_rxd,IP_PCH::GPP_C_8_UART0_RXD,1
GPP_C_7_ISH_I2C2_SCL_I2C3_SCL,gpp_c_7_ish_i2c2_scl_i2c3_scl,IP_PCH::GPP_C_7_ISH_I2C2_SCL_I2C3_SCL,1
GPP_C_6_ISH_I2C2_SDA_I2C3_SDA,gpp_c_6_ish_i2c2_sda_i2c3_sda,IP_PCH::GPP_C_6_ISH_I2C2_SDA_I2C3_SDA,1
GPP_C_5_SML0ALERTB,gpp_c_5_sml0alertb,IP_PCH::GPP_C_5_SML0ALERTB,1
GPP_C_4_ISH_UART0_TXD_SML0BCLK_I2C2_SCL,gpp_c_4_ish_uart0_txd_sml0bclk_i2c2_scl,IP_PCH::GPP_C_4_ISH_UART0_TXD_SML0BCLK_I2C2_SCL,1
GPP_C_3_ISH_UART0_RXD_SML0BDATA_I2C2_SDA,gpp_c_3_ish_uart0_rxd_sml0bdata_i2c2_sda,IP_PCH::GPP_C_3_ISH_UART0_RXD_SML0BDATA_I2C2_SDA,1
GPP_C_2_SMBALERTB,gpp_c_2_smbalertb,IP_PCH::GPP_C_2_SMBALERTB,1
GPP_C_1_SMBDATA,gpp_c_1_smbdata,IP_PCH::GPP_C_1_SMBDATA,1
GPP_C_0_SMBCLK,gpp_c_0_smbclk,IP_PCH::GPP_C_0_SMBCLK,1
GPP_H_19_ISH_I2C1_SCL_NMIB,gpp_h_19_ish_i2c1_scl_nmib,IP_PCH::GPP_H_19_ISH_I2C1_SCL_NMIB,1
GPP_H_18_ISH_I2C1_SDA_SMIB,gpp_h_18_ish_i2c1_sda_smib,IP_PCH::GPP_H_18_ISH_I2C1_SDA_SMIB,1
GPP_H_17_SML4ALERTB,gpp_h_17_sml4alertb,IP_PCH::GPP_H_17_SML4ALERTB,1
GPP_H_16_SML4DATA,gpp_h_16_sml4data,IP_PCH::GPP_H_16_SML4DATA,1
GPP_H_15_SML4CLK,gpp_h_15_sml4clk,IP_PCH::GPP_H_15_SML4CLK,1
GPP_H_14_SML3ALERTB,gpp_h_14_sml3alertb,IP_PCH::GPP_H_14_SML3ALERTB,1
GPP_H_13_SML3DATA,gpp_h_13_sml3data,IP_PCH::GPP_H_13_SML3DATA,1
GPP_H_12_SML3CLK,gpp_h_12_sml3clk,IP_PCH::GPP_H_12_SML3CLK,1
GPP_H_11_SML2ALERTB,gpp_h_11_sml2alertb,IP_PCH::GPP_H_11_SML2ALERTB,1
GPP_H_10_SML2DATA,gpp_h_10_sml2data,IP_PCH::GPP_H_10_SML2DATA,1
GPP_H_9_SML2CLK,gpp_h_9_sml2clk,IP_PCH::GPP_H_9_SML2CLK,1
GPP_H_8_USB2_OCB_3_GMII_MDIO_1,gpp_h_8_usb2_ocb_3_gmii_mdio_1,IP_PCH::GPP_H_8_USB2_OCB_3_GMII_MDIO_1,1
GPP_H_7_USB2_OCB_2_GMII_MDC_1,gpp_h_7_usb2_ocb_2_gmii_mdc_1,IP_PCH::GPP_H_7_USB2_OCB_2_GMII_MDC_1,1
GPP_H_6_USB2_OCB_1,gpp_h_6_usb2_ocb_1,IP_PCH::GPP_H_6_USB2_OCB_1,1
GPP_H_5_USB2_OCB_0,gpp_h_5_usb2_ocb_0,IP_PCH::GPP_H_5_USB2_OCB_0,1
GPP_H_4_SRCCLKREQB_11,gpp_h_4_srcclkreqb_11,IP_PCH::GPP_H_4_SRCCLKREQB_11,1
GPP_H_3_SRCCLKREQB_10,gpp_h_3_srcclkreqb_10,IP_PCH::GPP_H_3_SRCCLKREQB_10,1
GPP_H_2_SRCCLKREQB_9,gpp_h_2_srcclkreqb_9,IP_PCH::GPP_H_2_SRCCLKREQB_9,1
GPP_H_1_SRCCLKREQB_8,gpp_h_1_srcclkreqb_8,IP_PCH::GPP_H_1_SRCCLKREQB_8,1
GPP_H_0,gpp_h_0,IP_PCH::GPP_H_0,1
SPI0_CLK,spi0_clk,IP_PCH::SPI0_CLK,1
SPI0_FLASH_1_CSB,spi0_flash_1_csb,IP_PCH::SPI0_FLASH_1_CSB,1
SPI0_FLASH_0_CSB,spi0_flash_0_csb,IP_PCH::SPI0_FLASH_0_CSB,1
SPI0_TPM_CSB,spi0_tpm_csb,IP_PCH::SPI0_TPM_CSB,1
SPI0_MISO_IO_1,spi0_miso_io_1,IP_PCH::SPI0_MISO_IO_1,1
SPI0_MOSI_IO_0,spi0_mosi_io_0,IP_PCH::SPI0_MOSI_IO_0,1
SPI0_IO_3,spi0_io_3,IP_PCH::SPI0_IO_3,1
SPI0_IO_2,spi0_io_2,IP_PCH::SPI0_IO_2,1
DIR_ESPI_ALERTB,dir_espi_alertb,IP_PCH::DIR_ESPI_ALERTB,1
DIR_ESPI_RCLK,dir_espi_rclk,IP_PCH::DIR_ESPI_RCLK,1
DIR_ESPI_CLK,dir_espi_clk,IP_PCH::DIR_ESPI_CLK,1
DIR_ESPI_RESETB,dir_espi_resetb,IP_PCH::DIR_ESPI_RESETB,1
DIR_ESPI_CSB,dir_espi_csb,IP_PCH::DIR_ESPI_CSB,1
DIR_ESPI_IO_3,dir_espi_io_3,IP_PCH::DIR_ESPI_IO_3,1
DIR_ESPI_IO_2,dir_espi_io_2,IP_PCH::DIR_ESPI_IO_2,1
DIR_ESPI_IO_1,dir_espi_io_1,IP_PCH::DIR_ESPI_IO_1,1
DIR_ESPI_IO_0,dir_espi_io_0,IP_PCH::DIR_ESPI_IO_0,1
DMI_CLKREQB,dmi_clkreqb,IP_PCH::DMI_CLKREQB,1
DMI_PERSTB,dmi_perstb,IP_PCH::DMI_PERSTB,1
PWRBTNB_OUT,pwrbtnb_out,IP_PCH::PWRBTNB_OUT,1
GPP_A_13_ESPI_ALERT3B,gpp_a_13_espi_alert3b,IP_PCH::GPP_A_13_ESPI_ALERT3B,1
GPP_A_12_ESPI_ALERT2B,gpp_a_12_espi_alert2b,IP_PCH::GPP_A_12_ESPI_ALERT2B,1
GPP_A_11_ESPI_ALERT1B,gpp_a_11_espi_alert1b,IP_PCH::GPP_A_11_ESPI_ALERT1B,1
GPP_A_10_ESPI_ALERT0B,gpp_a_10_espi_alert0b,IP_PCH::GPP_A_10_ESPI_ALERT0B,1
GPP_A_9_ESPI_CS3B,gpp_a_9_espi_cs3b,IP_PCH::GPP_A_9_ESPI_CS3B,1
GPP_A_8_ESPI_CS2B,gpp_a_8_espi_cs2b,IP_PCH::GPP_A_8_ESPI_CS2B,1
GPP_A_7_ESPI_CS1B,gpp_a_7_espi_cs1b,IP_PCH::GPP_A_7_ESPI_CS1B,1
GPP_A_6_ESPI_RESETB,gpp_a_6_espi_resetb,IP_PCH::GPP_A_6_ESPI_RESETB,1
GPP_A_5_ESPI_CLK,gpp_a_5_espi_clk,IP_PCH::GPP_A_5_ESPI_CLK,1
GPP_A_4_ESPI_CS0B,gpp_a_4_espi_cs0b,IP_PCH::GPP_A_4_ESPI_CS0B,1
GPP_A_3_ESPI_IO_3_SUSACKB,gpp_a_3_espi_io_3_susackb,IP_PCH::GPP_A_3_ESPI_IO_3_SUSACKB,1
GPP_A_2_ESPI_IO_2_SUSWARNB_SUSPWRDNACK,gpp_a_2_espi_io_2_suswarnb_suspwrdnack,IP_PCH::GPP_A_2_ESPI_IO_2_SUSWARNB_SUSPWRDNACK,1
GPP_A_1_ESPI_IO_1,gpp_a_1_espi_io_1,IP_PCH::GPP_A_1_ESPI_IO_1,1
GPP_A_0_ESPI_IO_0,gpp_a_0_espi_io_0,IP_PCH::GPP_A_0_ESPI_IO_0,1
GPP_B_21_SML1ALERTB_PCHHOTB,gpp_b_21_sml1alertb_pchhotb,IP_PCH::GPP_B_21_SML1ALERTB_PCHHOTB,1
GPP_B_20_FUSA_DIAGTEST_MODE,gpp_b_20_fusa_diagtest_mode,IP_PCH::GPP_B_20_FUSA_DIAGTEST_MODE,1
GPP_B_19_FUSA_DIAGTEST_EN,gpp_b_19_fusa_diagtest_en,IP_PCH::GPP_B_19_FUSA_DIAGTEST_EN,1
GPP_B_18_PMCALERTB,gpp_b_18_pmcalertb,IP_PCH::GPP_B_18_PMCALERTB,1
GPP_B_17_ISH_GP_5,gpp_b_17_ish_gp_5,IP_PCH::GPP_B_17_ISH_GP_5,1
GPP_B_16_ISH_GP_4,gpp_b_16_ish_gp_4,IP_PCH::GPP_B_16_ISH_GP_4,1
GPP_B_15_ISH_GP_3,gpp_b_15_ish_gp_3,IP_PCH::GPP_B_15_ISH_GP_3,1
GPP_B_14,gpp_b_14,IP_PCH::GPP_B_14,1
GPP_B_13_PLTRSTB,gpp_b_13_pltrstb,IP_PCH::GPP_B_13_PLTRSTB,1
GPP_B_12_SLP_S0B,gpp_b_12_slp_s0b,IP_PCH::GPP_B_12_SLP_S0B,1
GPP_B_11_I2S_MCLK,gpp_b_11_i2s_mclk,IP_PCH::GPP_B_11_I2S_MCLK,1
GPP_B_10_ISH_GP_2,gpp_b_10_ish_gp_2,IP_PCH::GPP_B_10_ISH_GP_2,1
GPP_B_9_ISH_GP_1,gpp_b_9_ish_gp_1,IP_PCH::GPP_B_9_ISH_GP_1,1
GPP_B_8_ISH_GP_0,gpp_b_8_ish_gp_0,IP_PCH::GPP_B_8_ISH_GP_0,1
GPP_B_7_ISH_GP_7,gpp_b_7_ish_gp_7,IP_PCH::GPP_B_7_ISH_GP_7,1
GPP_B_6_CLKOUT_48,gpp_b_6_clkout_48,IP_PCH::GPP_B_6_CLKOUT_48,1
GPP_B_5_SX_EXIT_HOLDOFFB_ISH_GP_6_IEH_FATAL_ERR2B,gpp_b_5_sx_exit_holdoffb_ish_gp_6_ieh_fatal_err2b,IP_PCH::GPP_B_5_SX_EXIT_HOLDOFFB_ISH_GP_6_IEH_FATAL_ERR2B,1
GPP_B_4_CPU_GP_3,gpp_b_4_cpu_gp_3,IP_PCH::GPP_B_4_CPU_GP_3,1
GPP_B_3_CPU_GP_2,gpp_b_3_cpu_gp_2,IP_PCH::GPP_B_3_CPU_GP_2,1
GPP_B_2_ISH_GP_8,gpp_b_2_ish_gp_8,IP_PCH::GPP_B_2_ISH_GP_8,1
GPP_B_1_ISH_UART0_RTSB_GSPI2_CS1B,gpp_b_1_ish_uart0_rtsb_gspi2_cs1b,IP_PCH::GPP_B_1_ISH_UART0_RTSB_GSPI2_CS1B,1
GPP_B_0_PCIE_LNK_DOWN,gpp_b_0_pcie_lnk_down,IP_PCH::GPP_B_0_PCIE_LNK_DOWN,1
DMI_3_RXN,dmi_3_rxn,IP_PCH::DMI_3_RXN,1
DMI_3_RXP,dmi_3_rxp,IP_PCH::DMI_3_RXP,1
DMI_3_TXP,dmi_3_txp,IP_PCH::DMI_3_TXP,1
DMI_2_RXN,dmi_2_rxn,IP_PCH::DMI_2_RXN,1
DMI_2_RXP,dmi_2_rxp,IP_PCH::DMI_2_RXP,1
DMI_2_TXP,dmi_2_txp,IP_PCH::DMI_2_TXP,1
DMI_1_RXN,dmi_1_rxn,IP_PCH::DMI_1_RXN,1
DMI_1_RXP,dmi_1_rxp,IP_PCH::DMI_1_RXP,1
DMI_1_TXP,dmi_1_txp,IP_PCH::DMI_1_TXP,1
DMI_0_RXN,dmi_0_rxn,IP_PCH::DMI_0_RXN,1
DMI_0_RXP,dmi_0_rxp,IP_PCH::DMI_0_RXP,1
DMI_0_TXP,dmi_0_txp,IP_PCH::DMI_0_TXP,1
DMI_7_RXN,dmi_7_rxn,IP_PCH::DMI_7_RXN,1
DMI_7_RXP,dmi_7_rxp,IP_PCH::DMI_7_RXP,1
DMI_7_TXP,dmi_7_txp,IP_PCH::DMI_7_TXP,1
DMI_6_RXN,dmi_6_rxn,IP_PCH::DMI_6_RXN,1
DMI_6_RXP,dmi_6_rxp,IP_PCH::DMI_6_RXP,1
DMI_6_TXP,dmi_6_txp,IP_PCH::DMI_6_TXP,1
DMI_5_RXN,dmi_5_rxn,IP_PCH::DMI_5_RXN,1
DMI_5_RXP,dmi_5_rxp,IP_PCH::DMI_5_RXP,1
DMI_5_TXP,dmi_5_txp,IP_PCH::DMI_5_TXP,1
DMI_4_RXN,dmi_4_rxn,IP_PCH::DMI_4_RXN,1
DMI_4_RXP,dmi_4_rxp,IP_PCH::DMI_4_RXP,1
DMI_4_TXP,dmi_4_txp,IP_PCH::DMI_4_TXP,1
PCIE_21_RXN,pcie_21_rxn,IP_PCH::PCIE_21_RXN,1
PCIE_21_RXP,pcie_21_rxp,IP_PCH::PCIE_21_RXP,1
PCIE_21_TXP,pcie_21_txp,IP_PCH::PCIE_21_TXP,1
PCIE_22_RXN,pcie_22_rxn,IP_PCH::PCIE_22_RXN,1
PCIE_22_RXP,pcie_22_rxp,IP_PCH::PCIE_22_RXP,1
PCIE_22_TXP,pcie_22_txp,IP_PCH::PCIE_22_TXP,1
PCIE_23_RXN,pcie_23_rxn,IP_PCH::PCIE_23_RXN,1
PCIE_23_RXP,pcie_23_rxp,IP_PCH::PCIE_23_RXP,1
PCIE_23_TXP,pcie_23_txp,IP_PCH::PCIE_23_TXP,1
PCIE_24_RXN,pcie_24_rxn,IP_PCH::PCIE_24_RXN,1
PCIE_24_RXP,pcie_24_rxp,IP_PCH::PCIE_24_RXP,1
PCIE_24_TXP,pcie_24_txp,IP_PCH::PCIE_24_TXP,1
USB31_10_RXN,usb31_10_rxn,IP_PCH::USB31_10_RXN,1
USB31_10_RXP,usb31_10_rxp,IP_PCH::USB31_10_RXP,1
USB31_10_TXP,usb31_10_txp,IP_PCH::USB31_10_TXP,1
USB31_9_RXN,usb31_9_rxn,IP_PCH::USB31_9_RXN,1
USB31_9_RXP,usb31_9_rxp,IP_PCH::USB31_9_RXP,1
USB31_9_TXP,usb31_9_txp,IP_PCH::USB31_9_TXP,1
USB31_8_RXN,usb31_8_rxn,IP_PCH::USB31_8_RXN,1
USB31_8_RXP,usb31_8_rxp,IP_PCH::USB31_8_RXP,1
USB31_8_TXP,usb31_8_txp,IP_PCH::USB31_8_TXP,1
USB31_7_RXN,usb31_7_rxn,IP_PCH::USB31_7_RXN,1
USB31_7_RXP,usb31_7_rxp,IP_PCH::USB31_7_RXP,1
USB31_7_TXP,usb31_7_txp,IP_PCH::USB31_7_TXP,1
USB31_6_RXN,usb31_6_rxn,IP_PCH::USB31_6_RXN,1
USB31_6_RXP,usb31_6_rxp,IP_PCH::USB31_6_RXP,1
USB31_6_TXP,usb31_6_txp,IP_PCH::USB31_6_TXP,1
USB31_5_RXN,usb31_5_rxn,IP_PCH::USB31_5_RXN,1
USB31_5_RXP,usb31_5_rxp,IP_PCH::USB31_5_RXP,1
USB31_5_TXP,usb31_5_txp,IP_PCH::USB31_5_TXP,1
USB31_4_RXN,usb31_4_rxn,IP_PCH::USB31_4_RXN,1
USB31_4_RXP,usb31_4_rxp,IP_PCH::USB31_4_RXP,1
USB31_4_TXP,usb31_4_txp,IP_PCH::USB31_4_TXP,1
USB31_3_RXN,usb31_3_rxn,IP_PCH::USB31_3_RXN,1
USB31_3_RXP,usb31_3_rxp,IP_PCH::USB31_3_RXP,1
USB31_3_TXP,usb31_3_txp,IP_PCH::USB31_3_TXP,1
USB31_2_RXN,usb31_2_rxn,IP_PCH::USB31_2_RXN,1
USB31_2_RXP,usb31_2_rxp,IP_PCH::USB31_2_RXP,1
USB31_2_TXP,usb31_2_txp,IP_PCH::USB31_2_TXP,1
USB31_1_RXN,usb31_1_rxn,IP_PCH::USB31_1_RXN,1
USB31_1_RXP,usb31_1_rxp,IP_PCH::USB31_1_RXP,1
USB31_1_TXP,usb31_1_txp,IP_PCH::USB31_1_TXP,1
USB31_1_TXN,usb31_1_txn,IP_PCH::USB31_1_TXN,0
USB2N_14,usb2n_14,IP_PCH::USB2N_14,1
USB2P_14,usb2p_14,IP_PCH::USB2P_14,1
USB2N_13,usb2n_13,IP_PCH::USB2N_13,1
USB2P_13,usb2p_13,IP_PCH::USB2P_13,1
USB2N_12,usb2n_12,IP_PCH::USB2N_12,1
USB2P_12,usb2p_12,IP_PCH::USB2P_12,1
USB2N_11,usb2n_11,IP_PCH::USB2N_11,1
USB2P_11,usb2p_11,IP_PCH::USB2P_11,1
USB2N_10,usb2n_10,IP_PCH::USB2N_10,1
USB2P_10,usb2p_10,IP_PCH::USB2P_10,1
USB2N_9,usb2n_9,IP_PCH::USB2N_9,1
USB2P_9,usb2p_9,IP_PCH::USB2P_9,1
USB2N_8,usb2n_8,IP_PCH::USB2N_8,1
USB2P_8,usb2p_8,IP_PCH::USB2P_8,1
USB2N_7,usb2n_7,IP_PCH::USB2N_7,1
USB2P_7,usb2p_7,IP_PCH::USB2P_7,1
USB2N_6,usb2n_6,IP_PCH::USB2N_6,1
USB2P_6,usb2p_6,IP_PCH::USB2P_6,1
USB2N_5,usb2n_5,IP_PCH::USB2N_5,1
USB2P_5,usb2p_5,IP_PCH::USB2P_5,1
USB2N_4,usb2n_4,IP_PCH::USB2N_4,1
USB2P_4,usb2p_4,IP_PCH::USB2P_4,1
USB2N_3,usb2n_3,IP_PCH::USB2N_3,1
USB2P_3,usb2p_3,IP_PCH::USB2P_3,1
USB2N_2,usb2n_2,IP_PCH::USB2N_2,1
USB2P_2,usb2p_2,IP_PCH::USB2P_2,1
USB2N_1,usb2n_1,IP_PCH::USB2N_1,1
USB2P_1,usb2p_1,IP_PCH::USB2P_1,1
CLKOUT_SRC_P_12,clkout_src_p_12,IP_PCH::CLKOUT_SRC_P_12,1
CLKOUT_SRC_N_12,clkout_src_n_12,IP_PCH::CLKOUT_SRC_N_12,1
CLKOUT_SRC_P_13,clkout_src_p_13,IP_PCH::CLKOUT_SRC_P_13,1
CLKOUT_SRC_N_13,clkout_src_n_13,IP_PCH::CLKOUT_SRC_N_13,1
CLKOUT_SRC_P_11,clkout_src_p_11,IP_PCH::CLKOUT_SRC_P_11,1
CLKOUT_SRC_N_11,clkout_src_n_11,IP_PCH::CLKOUT_SRC_N_11,1
CLKOUT_SRC_P_10,clkout_src_p_10,IP_PCH::CLKOUT_SRC_P_10,1
CLKOUT_SRC_N_10,clkout_src_n_10,IP_PCH::CLKOUT_SRC_N_10,1
CLKOUT_SRC_P_8,clkout_src_p_8,IP_PCH::CLKOUT_SRC_P_8,1
CLKOUT_SRC_N_8,clkout_src_n_8,IP_PCH::CLKOUT_SRC_N_8,1
CLKOUT_SRC_P_9,clkout_src_p_9,IP_PCH::CLKOUT_SRC_P_9,1
CLKOUT_SRC_N_9,clkout_src_n_9,IP_PCH::CLKOUT_SRC_N_9,1
CLKOUT_SRC_P_6,clkout_src_p_6,IP_PCH::CLKOUT_SRC_P_6,1
CLKOUT_SRC_N_6,clkout_src_n_6,IP_PCH::CLKOUT_SRC_N_6,1
CLKOUT_SRC_P_7,clkout_src_p_7,IP_PCH::CLKOUT_SRC_P_7,1
CLKOUT_SRC_N_7,clkout_src_n_7,IP_PCH::CLKOUT_SRC_N_7,1
CLKOUT_SRC_P_4,clkout_src_p_4,IP_PCH::CLKOUT_SRC_P_4,1
CLKOUT_SRC_N_4,clkout_src_n_4,IP_PCH::CLKOUT_SRC_N_4,1
CLKOUT_SRC_P_5,clkout_src_p_5,IP_PCH::CLKOUT_SRC_P_5,1
CLKOUT_SRC_N_5,clkout_src_n_5,IP_PCH::CLKOUT_SRC_N_5,1
CLKOUT_SRC_P_3,clkout_src_p_3,IP_PCH::CLKOUT_SRC_P_3,1
CLKOUT_SRC_N_3,clkout_src_n_3,IP_PCH::CLKOUT_SRC_N_3,1
CLKOUT_SRC_P_2,clkout_src_p_2,IP_PCH::CLKOUT_SRC_P_2,1
CLKOUT_SRC_N_2,clkout_src_n_2,IP_PCH::CLKOUT_SRC_N_2,1
CLKOUT_SRC_P_0,clkout_src_p_0,IP_PCH::CLKOUT_SRC_P_0,1
CLKOUT_SRC_N_0,clkout_src_n_0,IP_PCH::CLKOUT_SRC_N_0,1
CLKOUT_SRC_P_1,clkout_src_p_1,IP_PCH::CLKOUT_SRC_P_1,1
CLKOUT_SRC_N_1,clkout_src_n_1,IP_PCH::CLKOUT_SRC_N_1,1
PCIE_16_SATA_3_TXN,pcie_16_sata_3_txn,IP_PCH::PCIE_16_SATA_3_TXN,0
PCIE_15_SATA_2_LAN_0C_TXN,pcie_15_sata_2_lan_0c_txn,IP_PCH::PCIE_15_SATA_2_LAN_0C_TXN,0
PCIE_14_SATA_1_TXN,pcie_14_sata_1_txn,IP_PCH::PCIE_14_SATA_1_TXN,0
PCIE_13_SATA_0_TXN,pcie_13_sata_0_txn,IP_PCH::PCIE_13_SATA_0_TXN,0
PCIE_20_SATA_7_TXN,pcie_20_sata_7_txn,IP_PCH::PCIE_20_SATA_7_TXN,0
PCIE_19_SATA_6_TXN,pcie_19_sata_6_txn,IP_PCH::PCIE_19_SATA_6_TXN,0
PCIE_18_SATA_5_TXN,pcie_18_sata_5_txn,IP_PCH::PCIE_18_SATA_5_TXN,0
PCIE_17_SATA_4_TXN,pcie_17_sata_4_txn,IP_PCH::PCIE_17_SATA_4_TXN,0
PCIE_12_TXN,pcie_12_txn,IP_PCH::PCIE_12_TXN,0
PCIE_11_TXN,pcie_11_txn,IP_PCH::PCIE_11_TXN,0
PCIE_10_TSN_1_TXN,pcie_10_tsn_1_txn,IP_PCH::PCIE_10_TSN_1_TXN,0
PCIE_9_TSN_0_TXN,pcie_9_tsn_0_txn,IP_PCH::PCIE_9_TSN_0_TXN,0
PCIE_8_TXN,pcie_8_txn,IP_PCH::PCIE_8_TXN,0
